Timestep,SimStepTime,ImageConversionTime,ImageWriteTime
0,0.00741876,0.00350211,0.00693879
1,0.0068252,0.00334841,0.00110614
2,0.0067874,0.00335723,0.00105074
3,0.00649215,0.00334919,0.00104733
4,0.00644518,0.00338861,0.00106651
5,0.0064352,0.00339458,0.0010506
6,0.00765239,0.00335158,0.00129216
7,0.00642606,0.00351002,0.00107176
8,0.0063902,0.00345828,0.001183
9,0.00639529,0.00335627,0.00105423
10,0.00639277,0.00335572,0.00104162
11,0.00630579,0.00335288,0.0010605
12,0.00638849,0.003401,0.00106155
13,0.00643261,0.00335984,0.00105525
14,0.00771219,0.003553,0.00147444
15,0.00636534,0.00359121,0.00105259
16,0.00646448,0.00335874,0.0010549
17,0.00638933,0.00335729,0.00103317
18,0.00636952,0.00335275,0.00104561
19,0.00641936,0.00343062,0.00104405
20,0.00640483,0.00335622,0.00104499
21,0.00626913,0.00336106,0.00103543
22,0.00761663,0.00356643,0.00143478
23,0.00645605,0.003503,0.00104928
24,0.00639698,0.00335041,0.00104662
25,0.00637582,0.00335876,0.00103187
26,0.00634166,0.00344936,0.00113332
27,0.00638758,0.00339058,0.00103865
28,0.00637241,0.00335693,0.00103556
29,0.00637907,0.00335561,0.00104512
30,0.00768075,0.00355592,0.00143567
31,0.00642343,0.00350538,0.001038
32,0.00641308,0.0033568,0.0010437
33,0.00632732,0.00335484,0.00104145
34,0.00628591,0.00334901,0.00104337
35,0.00639653,0.00334659,0.0010303
36,0.00631601,0.0033502,0.00109339
37,0.00636539,0.0033575,0.00103815
38,0.0076151,0.00356373,0.00146286
39,0.00661308,0.00350755,0.00102879
40,0.0065101,0.00335229,0.00104471
41,0.00636476,0.00335702,0.00102747
42,0.0063625,0.00335506,0.0010219
43,0.00649245,0.00335628,0.00103424
44,0.0063325,0.00335184,0.00103801
45,0.00721903,0.00344059,0.00104714
46,0.00634924,0.00373766,0.00105241
47,0.0063276,0.0033545,0.00105897
48,0.00634227,0.00335133,0.00104792
49,0.00639704,0.00335759,0.00100716
50,0.00628295,0.00344694,0.0010249
51,0.00625513,0.00336325,0.00102757
52,0.00635312,0.00335571,0.00104076
53,0.00786296,0.003353,0.0010178
54,0.00627625,0.00365215,0.00100102
55,0.006362,0.00335748,0.00101455
56,0.00639144,0.00335535,0.00102884
57,0.00634042,0.00335523,0.00102174
58,0.00638879,0.00335453,0.00101457
59,0.00637031,0.0033493,0.000994102
60,0.00637964,0.00335501,0.00100884
61,0.00650036,0.00334685,0.00119616
62,0.0063912,0.00335432,0.00101815
63,0.0063913,0.00335116,0.00104321
64,0.00642544,0.00335398,0.00102838
65,0.00638845,0.00335238,0.00100914
66,0.00632868,0.00335757,0.00175202
67,0.0063697,0.00344154,0.00102317
68,0.00635509,0.00334921,0.00100811
69,0.00639648,0.00365531,0.00100602
70,0.00637936,0.00335191,0.00101484
71,0.00637225,0.00335241,0.00100282
72,0.00639273,0.00335068,0.00100549
73,0.00635461,0.00335335,0.00101069
74,0.00642061,0.00334937,0.00100578
75,0.00627579,0.00335438,0.00101345
76,0.00656314,0.00335848,0.00118929
77,0.00639913,0.00335623,0.00101734
78,0.00638425,0.00334939,0.00103767
79,0.00638872,0.00335257,0.00102125
80,0.00636106,0.00341485,0.00105635
81,0.00639288,0.00335345,0.00102063
82,0.00637063,0.00335715,0.00101496
83,0.00637243,0.00348772,0.00104884
84,0.00638218,0.00350745,0.00100024
85,0.00640394,0.00334713,0.00100645
86,0.00637445,0.00336049,0.00101088
87,0.00630674,0.00335044,0.000999011
88,0.00645895,0.00343399,0.00102085
89,0.00640802,0.0033595,0.00102219
90,0.00637619,0.00334999,0.00101569
91,0.00640148,0.00370918,0.00101738
92,0.00639587,0.0033536,0.00100038
93,0.00636052,0.00344633,0.00102309
94,0.00638303,0.00334732,0.00100863
95,0.00636369,0.00335876,0.00101585
96,0.00641468,0.00334977,0.00102623
97,0.00633519,0.00335327,0.00101948
98,0.00658173,0.00354693,0.00107649
99,0.00641671,0.00335795,0.0010165
100,0.00640707,0.00344061,0.00104093
101,0.00636999,0.00335629,0.0010167
102,0.00637391,0.00336086,0.00103209
103,0.00640649,0.0033501,0.00102985
104,0.00639274,0.00334977,0.000999572
105,0.00639965,0.00335298,0.00100401
106,0.0064053,0.00366018,0.00100089
107,0.00638615,0.00335402,0.00103416
108,0.00641546,0.00335389,0.0010241
109,0.00630246,0.00335337,0.000996176
110,0.00638117,0.00343348,0.00101239
111,0.00637511,0.00335029,0.00100753
112,0.00633214,0.00334565,0.00106928
113,0.0066192,0.00334825,0.00122739
114,0.00640567,0.0033501,0.000991567
115,0.00640937,0.0033534,0.00101063
116,0.0064364,0.00335079,0.00101107
117,0.00640928,0.00335985,0.00101516
118,0.00637607,0.00334832,0.00102906
119,0.00634594,0.00335264,0.00101981
120,0.0063699,0.0033911,0.00100459
121,0.00638283,0.00366918,0.000999923
122,0.00641304,0.00335007,0.000986678
123,0.00633974,0.00343151,0.00099327
124,0.00634029,0.00334776,0.00101397
125,0.00633599,0.00344281,0.00100693
126,0.00637416,0.00335916,0.00101573
127,0.00637129,0.00335366,0.00123085
128,0.00673654,0.00335747,0.00101028
129,0.00635289,0.00335286,0.00102255
130,0.00630426,0.00334956,0.00101666
131,0.00632466,0.00345149,0.000990425
132,0.00634268,0.00343115,0.00101362
133,0.00628727,0.00335037,0.00103727
134,0.00627965,0.00331607,0.00100204
135,0.00622703,0.003284,0.00101931
136,0.00619246,0.00348475,0.00191404
137,0.00614248,0.00321654,0.00243262
138,0.00612459,0.00318164,0.00246099
139,0.00609928,0.00315481,0.00231637
140,0.00608109,0.00312059,0.0026485
141,0.00601877,0.00310415,0.00223411
142,0.00599517,0.00309379,0.00231023
143,0.00591758,0.00325403,0.00217994
144,0.00592143,0.0030364,0.00228837
145,0.00590296,0.00300697,0.00223525
146,0.00588841,0.00298252,0.00235311
147,0.0058319,0.00295508,0.00220317
148,0.00581236,0.00292684,0.00227547
149,0.00577103,0.00291263,0.00228724
150,0.00573535,0.00289251,0.00239621
151,0.00577141,0.00290053,0.00205164
152,0.00572152,0.00287272,0.00224259
153,0.00566054,0.00282735,0.0018454
154,0.00564022,0.00279906,0.00191005
155,0.00560526,0.00277077,0.00191727
156,0.00557555,0.00276385,0.00190899
157,0.00573772,0.00293312,0.00222511
158,0.00552171,0.0027209,0.00206306
159,0.00549252,0.00270467,0.00193455
160,0.00550043,0.00268109,0.00207919
161,0.00546294,0.00266199,0.00185779
162,0.00545883,0.00263718,0.00179596
163,0.00543218,0.00261741,0.00185154
164,0.00539408,0.00260282,0.00179389
165,0.005697,0.00258821,0.00220913
166,0.00538099,0.0025508,0.0020736
167,0.0052908,0.00256229,0.00181321
168,0.0053111,0.00253886,0.00172893
169,0.00531704,0.00251776,0.00176424
170,0.00527964,0.00249754,0.00160056
171,0.00528558,0.00247584,0.00192963
172,0.00525899,0.00247781,0.00139714
173,0.00541691,0.00246146,0.00147012
174,0.00523146,0.00241733,0.00196726
175,0.00519996,0.00240159,0.00202529
176,0.00521189,0.00239134,0.00196178
177,0.00514018,0.00243699,0.00152436
178,0.00532442,0.00245741,0.00184233
179,0.00526258,0.00234912,0.00171951
180,0.0051586,0.00235664,0.00164792
181,0.00517307,0.00231624,0.0016431
182,0.00516344,0.00230009,0.0017859
183,0.00517429,0.00228358,0.00164269
184,0.00514058,0.002284,0.0016773
185,0.00516688,0.00228267,0.00172842
186,0.00516598,0.00228413,0.00189175
187,0.00508694,0.00231209,0.00159628
188,0.00512389,0.002366,0.00186588
189,0.00519118,0.00228291,0.00169187
190,0.00513831,0.00243352,0.00174231
191,0.00561376,0.00228305,0.00179377
192,0.00519616,0.00228296,0.0014577
193,0.00515642,0.00241093,0.00168131
194,0.00518674,0.00228382,0.0016123
195,0.00509303,0.00236958,0.00146297
196,0.00515618,0.00242585,0.00170505
197,0.00507872,0.00232052,0.00174221
198,0.00518078,0.00243655,0.00167928
199,0.00516669,0.00228104,0.00179105
200,0.00519738,0.00228522,0.00166275
201,0.00520293,0.00228203,0.00188276
202,0.00519439,0.00228431,0.00163413
203,0.00518697,0.002282,0.00182906
204,0.00516126,0.00228617,0.00163372
205,0.00520212,0.00228444,0.00163262
206,0.0052123,0.00257492,0.00164083
207,0.00515942,0.00228745,0.00164239
208,0.00520844,0.00241864,0.00171474
209,0.00521811,0.00232188,0.00159389
