Timestep,SimStepTime,ImageConversionTime,ImageWriteTime
0,0.0442353,0.0021348,0.0030941
1,0.0445105,0.0021541,0.0064687
2,0.0443994,0.0019221,0.0031732
3,0.0433214,0.0016114,0.0032115
4,0.0430453,0.0017845,0.0030318
5,0.0441622,0.0016591,0.0031658
6,0.0451099,0.0049089,0.0034204
7,0.0453438,0.0016391,0.0030725
8,0.0459943,0.0024267,0.0031389
9,0.047579,0.0020984,0.0031416
10,0.0487916,0.0112541,0.0034412
11,0.0461744,0.0027443,0.003373
12,0.0464996,0.0085529,0.0031739
13,0.0469848,0.0016444,0.0034691
14,0.0456584,0.0018709,0.0030425
15,0.0441008,0.0019405,0.0032602
16,0.0422769,0.0045478,0.0031227
17,0.0458469,0.0017448,0.0031413
18,0.0422055,0.001689,0.0030826
19,0.042365,0.0018225,0.0033339
20,0.040419,0.0017496,0.0031506
21,0.0520909,0.0098679,0.0029615
22,0.0516528,0.0105145,0.0064833
23,0.0544504,0.0018231,0.0033502
24,0.0478441,0.010383,0.0042149
25,0.0418887,0.0015894,0.0033421
26,0.0518661,0.0030354,0.0031742
27,0.0462965,0.004518,0.002896
28,0.0441731,0.0028073,0.0030134
29,0.0462038,0.0016862,0.003184
30,0.0460414,0.0017472,0.0030876
31,0.0429371,0.0021034,0.0031123
32,0.0409003,0.0016376,0.0033408
33,0.0465372,0.0015546,0.0066969
34,0.0456306,0.0016728,0.0036322
35,0.0430535,0.002208,0.0029467
36,0.0499327,0.0018343,0.0030774
37,0.0460587,0.0016684,0.0034588
38,0.044647,0.0016854,0.0033352
39,0.0446791,0.0030129,0.0032868
40,0.0449595,0.0016334,0.0030787
41,0.0422806,0.0016677,0.0033051
42,0.0422321,0.0016187,0.0030968
43,0.0442433,0.0016671,0.0030425
44,0.0434512,0.0016719,0.003184
45,0.0424499,0.0017411,0.0034821
46,0.0424337,0.0022848,0.00296
47,0.0433683,0.0021552,0.0030086
48,0.0446248,0.0016401,0.0030735
49,0.0421389,0.0016377,0.0031351
50,0.0459455,0.0016692,0.0029409
51,0.0445762,0.0016635,0.0031813
52,0.0453363,0.0025001,0.0032764
53,0.0531066,0.0058126,0.0029074
54,0.0453306,0.006416,0.0031685
55,0.0430738,0.0015575,0.0031397
56,0.0403243,0.0016627,0.0030597
57,0.0423923,0.0020691,0.003274
58,0.0426953,0.0016814,0.0031264
59,0.0416829,0.0017824,0.0033281
60,0.043099,0.0016461,0.0035193
61,0.0429931,0.0016569,0.0033688
62,0.0424218,0.0016977,0.0029764
63,0.0426756,0.0018452,0.0031409
64,0.0445529,0.0043962,0.0030693
65,0.042338,0.0018144,0.0031215
66,0.0434837,0.0016967,0.0031898
67,0.041361,0.0017334,0.0039497
68,0.0439449,0.0015129,0.0030099
69,0.0428727,0.0016028,0.0033077
70,0.0423516,0.0017969,0.0030228
71,0.0420417,0.0023535,0.0030055
72,0.0431924,0.0020716,0.0029761
73,0.0440583,0.0016605,0.0031967
74,0.0446603,0.0016938,0.0030891
75,0.0424003,0.0017367,0.0031387
76,0.0431091,0.0016735,0.0034166
77,0.0419711,0.0016508,0.0035834
78,0.0470161,0.001762,0.0042795
